No,Question,Keyphrase
20,"Trường hợp người điều khiển xe mô tô, xe máy kéo uốngrượu, bia khi lái xe tham gia giao thông sẽ bị xử phạt như thế nào?","- xe mô tô 
- xe máy kéo
- uống rượu bia 
- xử phạt "
21,"Người đi xe đạp đã uống rượu, bia khi tham gia giao thông có bị xử phạt vi phạm hành chính không?","- xe đạp
- uống rượu bia
- xử phạt
- vi phạm hành chính"
22,Pháp luật quy định xử phạt đối với người điều khiển xe ô tô chở quá trọng tải như thế nào?,"- quy định
- xe ô tô
- quá trọng tải"
23,"Theo Nghị định số 100/2019/NĐ-CP khi xe vượt quá trọng tải cho phép thì không chỉ người điều khiển xe, mà cả chủ xe cũng sẽ bị xử phạt. Vậy mức xử phạt đối với chủ xe được quy định như thế nào?","- 100/2019/NĐ-CP
- vượt quá trọng tải
- người điều khiển xe
- chủ xe
- xử phạt
- mức phạt"
24,Ông Trần Văn B lái xe khách 24 chỗ ngồi bị lập biên bản lỗi chở quá số người quy định 30/24 người. Xin hỏi ông B sẽ bị xử phạt như thế nào? Chủ xe có bị phạt không?,"- ông B lái 
- xe khách
- chở quá số người quy định
- xử phạt
- chủ xe"
25,"Hiện nay, trên các tuyến đường giao thông vẫn xảy ra tình trạng các xe thường đón, trả khách tại những địa điểm không đúng nơi quy định, dễ gây tai nạn và gây nguy hiểm cho những người tham gia giao thông khác. Vậy trường hợp lái xe đón trả khách không đúng nơi quy định này bị xử lý như thế nào?","- xe 
- đón
- trả 
- khách
- những địa điểm không đúng nơi quy định
- gây tại nạn và nguy hiểm cho những người tham gia giao thông khác
- lái xe đón trả khách
- không đúng nơi quy định
- xử lý"
26,Pháp luật quy định người lái xe phải mang theo Bảo hiểm trách nhiệm dân sự của chủ xe cơ giới còn hiệu lực khi tham gia giao thông. Vậy hành vi không mang theo Bảo hiểm hoặc có mang theo Bảo hiểm nhưng đã hết hạn của lái xe khi tham gia giao thông thì bị xử lý như thế nào?,"- Người lái xe
- Bảo hiểm trách nhiệm dân sự
- chủ xe cơ giới
- còn hiệu lực
- không mang theo
- Bảo hiểm hết hạn
- xử lý  "
27,"Thời gian gần đây, trên các trang diễn đàn mạng có nhiều ý kiến bức xúc về tình trạng ô-tô “độ” đèn pha với cường độ ánh sáng mạnh, gây lóa mắt, nguy hiểm cho các phương tiện đi ngược chiều. Trong nhiều tình huống, có những xe lắp đèn ở phía sau, mỗi lần đạp phanh hoặc bật nguồn, dàn đèn led chiếu thẳng vào xe đi phía sau khiến lái xe phía sau không thể quan sát tình hình để phản xạ kịp thời nên sẽ tiềm ẩn nguy cơdẫn đến tai nạn. Vậy hành vi này bị xử lý như thế nào?","- ô tô
- độ đèn pha
- cường độ ánh sáng mạnh
- nguy hiểm cho các phương tiện
- ngược chiều
- xe lắp đèn ở phía sau
- khiến lái xe phía sau
- tai nạn
- xử lý"
28,"Việc tự ý chiếm dụng lòng đường, vỉa hè làm nơi trông giữ xe gây cản trở giao thông và mất mỹ quan đô thị có xem là vi phạm pháp luật giao thông đường bộ không? Nếu vi phạm thì bị xử phạt tại nghị định nào?","- tự ý 
- chiếm dụng
- lòng đường
- vỉa hè
- cản trở giao thông
- vi phạm
- luật giao thông đường bộ
- xử phạt
- nghị định"
29,"Nghị định số 100/2019/NĐ-CP quy định như thế nào về xử phạt người điều khiển xe ô tô, máy kéo và các loại xe tương tự xe ô tô vi phạm quy định về bảo vệ môi trường khi tham gia giao thông?","- 100/2019/NĐ-CP
- xử phạt
- người điều khiển xe ô tô
- vi phạm
- quy định
- bảo vệ môi trường"
30,Xe máy chuyên dùng là xe gì? Người điều khiển xe máy chuyên dùng khi tham gia giao thông phải đáp ứng điều kiện nào? Người điều khiển xe máy chuyên dùng sẽ bị xử phạt như thế nào khi có hành vi vi phạm quy định về điều kiện của người điều khiển xe máy chuyên dùng?,"- xe máy chuyên dùng
- là gì
- người điều khiển
- đáp ứng
- điều kiện
- xử phạt
- vi phạm
- quy định
- điều kiện của người điều khiển xe máy chuyên dùng"
31,Lái xe khi tham gia giao thông phải đáp ứng điều kiện gì? Nghị định số 100/2019/NĐ-CP quy định như thế nào về xử phạt các hành vi vi phạm quy định về điều kiện của người điều khiển xe cơ giới.,"- lái xe
- điều kiện
- 100/2019/NĐ-CP
- quy định
- xử phạt
- vi phạm
- điều kiện 
- người điều khiển
- xe cơ giới"
32,"Luật giao thông đường bộ 2008 quy định độ tuổi của người lái xe gắn máy, xe mô tô là bao nhiêu? Người điều khiển phương tiện giao thông vi phạm quy định về độ tuổi bị xử phạt như thế nào?","- luật giao thông đường bộ 2008
- quy định 
- độ tuổi
- người lái xe
- xe gắn máy 
- xe mô tô
- người điều khiển phương tiện giao thông
- vi phạm
- xử phạt"
33,"Theo Nghị định số 100/2020/NĐ-CP ngày 17/01/2020 của Chính phủ quy định về điều kiện kinh doanh bằng xe ô tô thì Xe ô tô kinh doanh vận tải hành khách, xe ô tô kinh doanh vận tải hàng hóa và xe trung chuyển phải lắp thiết bị giám sát hành trình. Vậy người điều khiển xe ô tô kinh doanh vận tải không lắp thiết bị giám sát hành trình bị xử phạt như thế nào?","- 100/2020/NĐ-CP
- điều kiện kinh doanh
- xe ô tô 
- kinh doanh
- thiết bị giám sát hành trình
- không lắp
- người điều khiển
- xử phạt"
34,"Theo Nghị định số 100/2020/NĐ-CP ngày 17/01/2020 của Chính phủ quy định về điều kiện kinh doanh bằng xe ô tô thì Xe ô tô kinh doanh vận tải hành khách, xe ô tô kinh doanh vận tải hàng hóa và xe trung chuyển phải lắp thiết bị giám sát hành trình. Vậy cá nhân, tổ chức kinh doanh vận tải không thực hiện việc lắp thiết bị giám sát hành trình bị xử phạt như thế nào?","- 100/2020/NĐ-CP
- điều kiện kinh doanh
- xe ô tô 
- kinh doanh
- thiết bị giám sát hành trình
- không lắp
- cá nhân
- tổ chức kinh doanh
- xử phạt"
35,"Theo quy định của Nghị định số 100/2019/NĐ-CP, Nhân viên phục vụ trên xe buýt, xe vận chuyển hành khách theo tuyến cố định sẽ bị xử phạt như thế nào khi có hành vi vi phạm quy định về trật tự an toàn giao thông?","- 100/2019/NĐ-CP
- nhân viên phục vụ
- xe buýt
- xe vận chuyển hành khách theo tuyến cố định
- xử phạt
- vi phạm
- trật tự an toàn giao thông"
36,"Theo quy định của Nghị định số 100/2019/NĐ-CP, hành khách đi xe vi phạm quy định về trật tự an toàn giao thông sẽ bị xử phạt như thế nào?","- 100/2019/NĐ-CP
- hành khách
- vi phạm
- quy định 
- trật tự an toàn giao thông
- xử phạt"
37,"Nghị định số 100/2019/NĐ-CP quy định về xử phạt đối với Tổ chức, cá nhân có hành vi vi phạm quy định về xây dựng bến xe, bãi đỗ xe, tạm dừng nghỉ như thế nào?","- 100/2019/NĐ-CP
- tổ chức 
- cá nhân
- vi phạm
- quy định
- xây dựng
- bến xe
- bãi đổ xe
- trạm dừng nghỉ "
38,Những hành vi vi phạm quy định về bảo vệ hạ tầng giao thông đường bộ thường hay xảy ra?,"- hành vi 
- vi phạm
- quy định
- bảo vệ
- hạ tầng giao thông đường bộ"
39,"Từ ngày 01/01/2020, các hành vi vi phạm nào của tổ chức quản lý, vận hành trạm thu phí đường bộ sẽ bị xử lý theo Nghị định số 100/2019/NĐ-CP? Mức phạt là bao nhiêu?","- hành vi
- vi phạm
- tổ chức quản lý
- vận hành trạm thu phí đường bộ
- 100/2019/NĐ-CP
- mức phạt "
40,"Nghị định số 100/2019/NĐ-CP quy định vể xử phạt đối với Người điều khiển xe ô tô thực hiện hảnh vi vi phạm quy định về vận chuyển hàng siêu trường, siêu trọng?","- 100/2019/NĐ-CP
- xử phạt
- người điều khiển
- xe ô tô
- vi phạm
- quy định
- vận chuyển
- hàng siêu trường
- siêu trọng"
41,"Người điều khiển xe vệ sinh môi trường, xe ô tô chở phế thải thực hiện hành vi điều khiển xe chạy không đúng tuyến, không đúng thời gian quy định thì bị xử phạt như thế nào?","- người điều khiển
- xe vệ sinh môi trường
- xe ô tô chở phế thải
- điều khiển
- không đúng tuyến
- không đúng thời gian 
- xử phạt"
42,Nghị định số 100/2019/NĐ-CP quy định mức xử phạt đối với người điều khiển phương tiện giao thông cơ giới đường bộ gắn biển nước ngoài như thế nào?,"- 100/2019/NĐ-CP
- mức xử phạt
- người điều khiển
- phương tiện giao thông cơ giới đường bộ
- gắn biển nước ngoài"
43,Hành vi không làm thủ tục đăng ký sang tên xe có bị xử lý vi phạm hành chính hay không?,"- hành vi 
- không làm thủ tục
- đăng ký sang tên xe
- xử lý
- vi phạm hành chính"
44,"Đăng kiểm viên, nhân viên nghiệp vụ của Trung tâm đăng kiểm bị xử phạt như thế nào khi thực hiện hành vi vi phạm quy định về hoạt động kiểm định an toàn kỹ thuật, bảo vệ môi trường xe cơ giới?","- đăng kiểm viên
- nhân viên nghiệp vụ của Trung tâm đăng kiểm
- xử phạt
- vi phạm
- hoạt động kiểm định an toàn kỹ thuật
- bảo vệ môi trường xe cơ giới"
45,"Trung tâm đăng kiểm thực hiện hành vi vi phạm quy định về hoạt động kiểm định an toàn kỹ thuật, bảo vệ môi trường xe cơ giới thì bị xử phạt như thế nào?","- Trung tâm đăng kiểm
- vi phạm
- hoạt động kiểm định an toàn kỹ thuật
- bảo vệ môi trường xe cơ giới
- xử phạt"
46,"Hành vi sản xuất, lắp ráp trái phép phương tiện giao thông cơ giới đường bộ; sản xuất, bán biển số phương tiện giao thông cơ giới đường bộ trái phép bị xử phạt vi phạm hành chính như thế nào?","- sản xuất
- lắp ráp trái phép
- phương tiện giao thông cơ giới đường bộ
- sản xuất biển số
- trái phép
- xử phạt
- vi phạm hành chính"
47,"Chủ xe mô tô, ô tô tự ý đổi màu sơn xe bị xử phạt như thế nào?","- chủ xe
- xe mô tô
- xe ô tô
- tự ý
- đổi màu sơn xe
- xử phạt "
48,"Người điều khiển, dẫn dắt súc vật, điều khiển xe súc vật kéo vi phạm quy tắc giao thông đường bộ bị xử phạt như thế nào?","- người điều khiển
- dẫn dắt súc vật
- điều khiển xe súc vật
- vi phạm
- quy tắc giao thông đường bộ
- xử phạt"
49,"Anh tôi đi uống rượu về bị CSGT kiểm tra giấy tờ và yêu cầu thổi vào máy đo nồng độ cồn nhưng anh tôi không chấp hành mà tự ý bỏ về nhà. Xin hỏi, trong trường hợp này anh tôi bị xử phạt như thế nào?","- uống rượu
- CSGT
- kiểm tra giấy tờ
- thổi vào máy đo nồng độ cồn
- không chấp hành
- bỏ về nhà
- xử phạt"
50,"Việc người điều khiển xe máy, xe đạp sử dụng hoặc chờ người sử dụng ô (dù) khi tham gia giao thông tiềm ẩn nhiều nguy cơ gây tai nạn giao thông nhất là trong thời tiết mưa gió. Vậy Nghị định số 100/2019/NĐ-CP quy định xử phạt đối với người điều khiển xe máy, xe đạp sử dụng ô dù khi tham gia giao thông như thế nào?","- người điều khiển xe máy
- xe đạp
- chở người sử dụng ô
- gây tai nạn giao thông
- 100/2019/NĐ-CP
- xử phạt"
51,"Hành vi đi xe gắn máy, xe đạp dàn hàng ngang 2 xe có vi phạm luật giao thông đường bộ không? Nếu bị phát hiện xử phạt như thế nào?","- hành vi
- xe gắn máy
- xe đạp
- dàn hàng ngang 2 xe
- xử phạt"
52,Việc không giúp đỡ người bị tai nạn giao thông có bị xử phạt hay không?,"- không giúp đỡ
- người bị tai nạn
- xử phạt"
53,"Hành vi đi, đứng, nằm, ngồi trên đường sắt có bị xử lý không?","- đứng 
- nằm 
- ngồi
- trên đường sắt
- bị xử lý"
54,"Tuyến đường sắt đi qua tỉnh Nam Định có nhiều đoạn chạy qua các khu có đông dân cư sinh sống. Theo thống kê cho thấy, ngoài đường ngang hợp pháp, có người gác chắn hoặc đường ngang phòng vệ bằng biển báo thì đã hình thành hàng trăm lối đi dân tự mở. Vậy hành vi tự mở lối đi qua đường sắt bị xử lý như thế nào?","- tuyến đường sắt
- nhiều đoạn
- dân cư
- người gác chắn đường
- đường ngang phòng vệ
- biển báo
- lối đi
- dân tự mở
- xử phạt"
55,"Các hành vi vi phạm quy định về quy tắc giao thông tại đường ngang, cầu chung, hầm đường sắt bị xử lý như thế nào?","- vi phạm
- quy tắc
- đường ngang 
- cầu chung
- hầm đường sắt
- xử lý"
56,"Hành vi ném đất, đá hoặc vật khác lên tàu hoặc từ trên tàu xuống bị xử lý như thế nào?","- hành vi
- ném 
- đất
- đá 
- vật khác lên tàu
- từ trên tàu xuống
- xử lý"
57,Hành vi sử dụng vé tàu giả và bán vé tàu trái quy định bị xử lý như thế nào?,"- sử dụng
- vé tàu giả
- bán
- vé tàu trái quy định
- xử lý"
58,Hành vi điều khiển tàu chạy quá tốc độ quy định bị xử lý như thế nào?,"- điều khiển
- tàu 
- chạy quá tốc độ
- xử lý "
59,Luật Giao thông đường bộ quy định quy tắc chung giao thông đường bộ là gì?,"- quy định
- quy tắc
- chung"
60,Luật Giao thông đường bộ quy định các hành vi nào bị nghiêm cấm?,"- quy định
- hành vi
- nghiêm cấm"
61,Luật Giao thông đường bộ quy định chấp hành báo hiệu đường bộ như thế nào?,"- quy định
- chấp hành
- báo hiệu
- đường bộ"
62,Luật Giao thông đường bộ quy định sử dụng làn đường như thế nào?,"- quy định
- sử dụng 
- làn đường"
63,"Luật Giao thông đường bộ quy định người điều khiển phương tiện khi dừng xe, đỗ xe trên đường bộ phải thực hiện quy định nào?","- quy định
- người điều khiển
- phương tiện
- dừng xe
- đỗ xe
- thực hiện"
64,"Luật Giao thông đường bộ quy định người điều khiển phương tiện không được dừng xe, đỗ xe tại các vị trí nào?","- quy định
- người điều khiển
- phương tiện
- không
- dừng xe
- đỗ xe
- vị trí"
65,"Theo Luật Giao thông đường bộ, người điều khiển xe mô tô hai bánh, xe gắn máy được chở mấy người?","- người điều khiển
- xe mô tô
- hai bánh
- ba bánh
- xe gắn máy
- được
- chở
- mấy
- người"
66,"Theo Luật Giao thông đường bộ, người điều khiển, người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy có phải đội mũ bảo hiểm không?","- người điều khiển 
- người ngồi
- xe mô tô
- hai bánh
- ba bánh
- xe gắn máy
- đội
- mũ bảo hiểm"
67,"Theo Luật Giao thông đường bộ, người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện hành vi nào?","- người điều khiển
- xe mô tô
- hai bánh
- ba bánh
- xe gắn máy
- không được
- thực hiện
- hành vi"
68,"Theo Luật Giao thông đường bộ, người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông không được thực hiện hành vi nào?","- người ngồi
- xe mô tô
- hai
- ba 
- bánh
- xe gắn máy
- không được
- thực hiện
- hành vi "
69,"Luật Giao thông đường bộ quy định người điều khiển, người ngồi trên xe đạp, người điều khiển xe thô sơ khác phải tuân thủ những quy tắc nào?","- người điều kiển
- người ngồi
- xe đạp
- xe thô sơ
- tuân thử
- quy tắc"
70,"Luật Giao thông đường bộ quy định quy tắc giao thông đường bộ đối với người đi bộ như thế nào?
","- quy định
- quy tắc
- người đi bộ"
71,"Luật Giao thông đường bộ quy định đối với người khuyết tật, người già yếu tham gia giao thông như thế nào?","- quy định
- người khuyết tật
- người già yếu"
72,Luật Giao thông đường bộ quy định đối với người dẫn dắt súc vật đi trên đường bộ như thế nào?,"- quy định
- người 
- dẫn dắt
- súc vật
- đi"
73,Luật Giao thông đường bộ quy định độ tuổi của người lái xe như thế nào?,"- quy định
- độ tuổi
- người lái xe"
74,"Hành vi chuyển hướng không nhường đường cho: Các xe đi ngược chiều; người đi bộ, xe lăn của người khuyết tật đang qua đường tại nơi không có vạch kẻ đường cho người đi bộ bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- chuyển hướng
- không
- nhường
- đường
- xe
- đi
- ngược chiều
- người đi bộ
- xe lăn
- người khuyết tật
- nơi
- không có
- vạch kẻ đường
- bị xử phạt
- vi phạm"
75,"Hành vi điều khiển xe chạy tốc độ thấp hơn các xe khác đi cùng chiều mà không đi về bên phải phần đường xe chạy, trừ trường hợp các xe khác đi cùng chiều chạy quá tốc độ quy định bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe 
- tốc độ
- thấp hơn
- xe khác
- đi cùng chiều
- không đi
- bên phải
- phần đường xe chạy
- trừ trường hợp
- xe khác
- đi cùng chiều
- chạy quá
- tốc độ 
- xử phạt"
76,Hành vi không thắt dây an toàn khi điều khiển xe chạy trên đường; chở người trên xe ô tô không thắt dây an toàn (tại vị trí có trang bị dây an toàn) khi xe đang chạy bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- không thắt
- dây an toàn
- điều khiển
- xe
- chở người
- xe ô tô
- xử phạt
- vi phạm"
77,Hành vi dùng tay sử dụng điện thoại di động khi đang điều khiển xe chạy trên đường bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- sử dụng
- điện thoại di động
- điều khiển 
- xe
- xử phạt
- vi phạm"
78,"Hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông; không chấp hành hiệu lệnh, hướng dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- không chấp hành
- hiệu lệnh
- đèn tín hiệu
- hướng dẫn
- người điều khiển giao thông
- người kiểm soát giao thông
- xử phạt
- vi phạm"
79,Hành vi điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- điều khiển
- xe
- chạy
- quá tốc độ
- quy định 
- xử phạt
- vi phạm"
80,Hành vi không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- không chấp hành
- yêu cầu 
- kiểm tra
- nồng độ cồn
- người thi hành công vụ
- xử phạt
- vi phạm "
81,Hành vi không có báo hiệu xin vượt trước khi vượt bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- không báo hiệu
- xin vượt
- trước
- xử phạt
- vi phạm"
82,Hành vi chở người ngồi trên xe sử dụng ô (dù) bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- chở
- người ngồi
- sử dụng
- ô dù
- xử phạt
- vi phạm"
83,Hành vi chở theo 03 người trên xe trở lên bị xử phạt vi phạm hành chính như thế nào?,"- hành vi
- chở 
- 3
- người
- xử phạt
- vi phạm"
84,"Hành vi bấm còi, rú ga (nẹt pô) liên tục trong đô thị, khu đông dân cư, trừ các xe ưu tiên đang đi làm nhiệm vụ theo quy định bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- bấm còi
- rú ga
- nẹt pô
- khu đô thị
- khu đông dân cư
- trừ
- xe ưu tiên
- làm
- nhiệm vụ
- xử phạt
- hành chính"
85,"Người đang điều khiển xe hoặc chở người ngồi trên xe bám, kéo, đẩy xe khác, vật khác, dẫn dắt súc vật, mang vác vật cồng kềnh; chở người đứng trên yên, giá đèo hàng hoặc ngồi trên tay lái; xếp hàng hóa trên xe vượt quá giới hạn quy định; điều khiển xe kéo theo xe khác, vật khác bị xử phạt vi phạm hành chính như thế nào?","- người
- điều khiển
- xe
- chở 
- người ngồi
- bám
- kéo
- đẩy
- dẫn dắt
- súc vật
- mang
- vác 
- vật cồng kềnh 
- chở
- người đứng trên yên
- giá đèo hàng
- ngồi trên tay lái
- xếp
- hàng hoá
- vượt
- giới hạn
- quy định
- xử phạt
- vi phạm"
86,"Hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông và không chấp hành hiệu lệnh, hướng dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- không chấp hành
- hiệu lệnh
- đèn tín hiệu
- hướng dẫn
- người điều khiển giao thông
- người kiểm soát giao thông
- xử phạt
- vi phạm"
87,"Người đang điều khiển xe sử dụng ô (dù), điện thoại di động, thiết bị âm thanh, trừ thiết bị trợ thính bị xử phạt vi phạm hành chính như thế nào?","- người
- điều khiển
- xe 
- sử dụng
- ô 
- dù
- điện thoại di động
- thiết bị âm thành
- trừ
- thiết bị trợ thính
- xử phạt
- vi phạm "
88,"Hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe 
- nồng độ cồn
- vượt quá
- xử phạt
- vi phạm"
89,"Hành vi điều khiển xe lạng lách hoặc đánh võng trên đường bộ trong, ngoài đô thị bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe
- lạng lách
- đánh võng
- đường bộ
- trong
- ngoài
- đô thị
- xử phạt
- vi phạm"
90,"Hành vi gây tai nạn giao thông không dừng lại, không giữ nguyên hiện trường, bỏ trốn không đến trình báo với cơ quan có thẩm quyền, không tham gia cấp cứu người bị nạn bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- gây 
- tai nạn
- không dừng
- không giữ nguyên hiện trường
- bỏ trốn
- không đến trình báo 
- cơ quan có thẩm quyền
- khôgn tham gia cấp cứu
- người bị nạn
- xử phạt
- vi phạm"
91,"Hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe 
- nồng độ cồn
- vượt quá
- xử phạt
- vi phạm"
92,"Hành vi không đi bên phải theo chiều đi của mình, đi không đúng phần đường quy định; Dừng xe đột ngột; chuyển hướng không báo hiệu trước bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- không đi
- bên phải
- đi
- không đúng
- phần đường
- dừng xe
- đột ngột
- chuyển hướng
- không báo hiệu
- xử phạt
- vi phạm"
93,"Hành vi dùng xe đẩy làm quầy hàng lưu động trên đường, gây cản trở giao thông bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- dùng 
- xe đẩy
- làm
- quầy hàng lưu động
- gây 
- cản trở
- xử phạt 
- vi phạm"
